city,country,housing,cost_of_living,startups,venture_capital,travel_connectivity,commute,business_freedom,safety,healthcare,education,environmental_quality,economy,taxation,internet_access,leisure_and_culture,tolerance,outdoors,population,city_wd,gps_lon,gps_lat,year_high_c,year_mean_c,year_low_c,year_precipitation_mm,human_freedom,economic_freedom,personal_freedom
Birmingham,United States,6.556,5.133,4.358,1.0,1.435,2.021,8.671,1.776,6.541,3.624,7.038,6.514,4.204,5.16,5.384,4.882,1.266,212237,http://www.wikidata.org/entity/Q79867,-86.80249,33.52066,23.2,,11.5,1364.5,23,7,33
Boise,United States,6.964,6.578,4.205,2.596,1.324,5.225,8.671,4.36,6.797,3.624,8.07,6.514,4.062,3.442,4.2,6.928,5.221,205671,http://www.wikidata.org/entity/Q35775,-116.237777777,43.613611111,17.5,11.3,5.1,297.8,23,7,33
Boston,United States,1.0,4.259,9.565,10.0,3.215,4.396,8.671,7.742,6.729,8.624,8.171,6.514,4.062,5.701,8.564,8.482,5.66,655884,http://www.wikidata.org/entity/Q100,-71.061666666,42.357777777,14.8,10.8,6.7,1111.6,23,7,33
Boulder,United States,3.704,4.531,5.853,6.019,4.207,6.138,8.671,7.074,7.05,4.679,9.844,6.514,4.346,6.278,2.565,9.275,6.699,97385,http://www.wikidata.org/entity/Q192517,-105.292777777,40.019444444,18.5,,3.2,520.9,23,7,33
Bozeman,United States,2.949,0.0,3.407,0.0,1.19,0.0,8.671,6.914,6.515,4.128,9.369,6.514,4.062,5.156,1.907,7.294,6.134,37280,http://www.wikidata.org/entity/Q569678,-111.047222222,45.677777777,14.4,6.9,-0.5,500.7,23,7,33
Buffalo,United States,7.076,5.228,3.947,2.715,1.511,2.154,8.671,7.188,6.457,4.212,8.329,6.514,3.92,6.758,4.32,7.404,4.646,258959,http://www.wikidata.org/entity/Q40435,-78.849444444,42.904722222,13.5,,4.6,1028.3,23,7,33
Charleston,United States,4.637,3.567,4.92,2.011,1.399,4.621,8.671,5.056,6.78,3.624,7.276,6.514,4.062,6.093,6.595,5.771,5.01,127999,http://www.wikidata.org/entity/Q47716,-79.9325,32.776111111,24.5,,13.1,1296,23,7,33
Charlotte,United States,5.549,4.987,6.248,2.878,3.679,4.134,8.671,5.347,6.432,3.624,8.009,6.514,4.062,6.387,5.606,6.79,1.312,731424,http://www.wikidata.org/entity/Q16565,-80.843333333,35.226944444,21.6,,9.3,1057.5,23,7,33
Chattanooga,United States,6.782,6.121,3.91,2.228,1.21,0.797,8.671,4.468,6.243,3.624,7.152,6.514,4.772,8.365,4.162,4.792,3.908,173366,http://www.wikidata.org/entity/Q186702,-85.267222222,35.045555555,22,,10,1332.9,23,7,33
Chicago,United States,3.702,4.766,9.513,8.368,5.508,4.58,8.671,3.832,6.216,7.999,6.804,6.514,4.062,6.599,8.193,6.134,5.416,2722389,http://www.wikidata.org/entity/Q1297,-87.627777777,41.881944444,15.2,10.7,6.3,993,23,7,33
Cincinnati,United States,6.678,6.108,6.1,2.709,1.926,4.744,8.671,4.975,6.346,4.28,7.11,6.514,3.92,6.512,6.118,5.299,3.608,296943,http://www.wikidata.org/entity/Q43196,-84.5,39.133333333,17.7,,7.1,1080,23,7,33
Cleveland,United States,7.156,5.595,4.961,3.646,2.078,4.421,8.671,3.637,6.756,4.618,7.25,6.514,3.92,5.477,5.697,4.775,4.669,396815,http://www.wikidata.org/entity/Q37320,-81.669722222,41.482222222,15.3,,6.2,994.1,23,7,33
Colorado Springs,United States,6.5,5.375,4.267,2.147,1.266,1.735,8.671,5.378,5.844,3.624,8.527,6.514,4.346,5.922,3.812,9.206,7.356,416427,http://www.wikidata.org/entity/Q49258,-104.791944444,38.863333333,16.7,,2.1,419,23,7,33
