FIPS Code,County,State,"County, State",Percentile Sociodemographic Domain Score,Percentile Air Domain Score,Percentile Water Domain Score,Percentile Built-Environment Domain Score,Percentile Land Domain Score,Percentile Adults with less than High School Diploma,Percentile Adults with High School Diploma,Percentile Adults completing a College Degree,Percentile Total Labour Force,Percentile Employed,Percentile Unemployed,Percentile Median Monthly Rent (Studio)
8123,Weld County,Colorado,"Weld County, CO",86.57333758,91.50493159,30.35316577,13.10849507,24.94432071,59.52911231,17.16512886,62.2017181,93.25485205,93.25485205,94.27298759,11.19949093
8125,Yuma County,Colorado,"Yuma County, CO",46.1979001,29.3986637,21.4444798,90.42316258,32.10308622,65.00159084,28.39643653,81.02131721,29.52593064,29.90773147,18.53324849,17.88100541
9001,Fairfield County,Connecticut,"Fairfield County, CT",98.98186446,94.71842189,3.563474388,60.61088132,84.50524976,39.30957684,4.836143812,2.306713331,98.15462934,98.15462934,98.47279669,2.927139675
9003,Hartford County,Connecticut,"Hartford County, CT",95.16385619,2.958956411,4.040725422,47.31148584,48.20235444,40.83678015,14.23798918,13.33121222,98.18644607,98.18644607,98.69551384,12.18580974
9005,Litchfield County,Connecticut,"Litchfield County, CT",93.70028635,7.731466752,1.781737194,53.54756602,64.87432389,10.94495705,26.93286669,29.09640471,89.65956093,89.56411072,90.83678015,12.51988546
9007,Middlesex County,Connecticut,"Middlesex County, CT",95.83200764,14.69933185,4.708876869,62.01081769,64.9697741,6.267896914,11.10404073,21.76264715,88.54597518,88.54597518,89.50047725,12.18580974
9009,New Haven County,Connecticut,"New Haven County, CT",94.40025453,12.153993,3.499840916,58.95641107,54.62933503,38.46643334,28.31689469,9.831371301,98.05917913,97.96372892,98.53643016,6.045179765
9011,New London County,Connecticut,"New London County, CT",92.77760102,5.79064588,6.458797327,42.63442571,69.39230035,18.77187401,21.63538021,41.96627426,91.53674833,91.37766465,93.79573656,13.56983773
9013,Tolland County,Connecticut,"Tolland County, CT",94.84568883,17.05377028,3.531657652,13.80846325,60.3245307,6.0769965,15.04931594,15.82882596,87.68692332,87.59147311,88.70505886,12.18580974
9015,Windham County,Connecticut,"Windham County, CT",82.2144448,20.83996182,17.21285396,19.6627426,54.56570156,47.77282851,55.02704423,43.89118676,84.34616608,84.12344893,87.49602291,12.5994273
10001,Kent County,Delaware,"Kent County, DE",81.06904232,22.46261534,26.34425708,32.89850461,4.549793191,56.18835507,45.3070315,43.12758511,87.27330576,87.14603882,90.10499523,12.63124403
10003,New Castle County,Delaware,"New Castle County, DE",95.06840598,17.53102132,12.24944321,49.12503977,43.49347757,24.57842825,30.46452434,12.42443525,96.37289214,96.34107541,96.2456252,9.385937003
10005,Sussex County,Delaware,"Sussex County, DE",76.80559975,2.704422526,6.713331212,51.41584473,6.904231626,48.88641425,32.38943684,33.40757238,90.48679605,90.55042953,90.51861279,27.98281896
11001,District of Columbia,District of Columbia,"District of Columbia, DC",99.33184855,26.72605791,87.36875597,93.82755329,99.17276487,26.66242444,1.638561884,0.413617563,97.231944,97.29557747,97.99554566,1.224944321
12001,Alachua County,Florida,"Alachua County, FL",93.76391982,1.272669424,95.48202354,74.7056952,40.08908686,18.88323258,4.247534203,31.25994273,91.98218263,92.0458161,90.1686287,15.74928412
12003,Baker County,Florida,"Baker County, FL",34.17117404,44.35252943,91.1549475,10.56315622,87.17785555,72.04899777,85.68246898,33.05758829,51.22494432,51.57492841,46.46834235,59.7836462
12005,Bay County,Florida,"Bay County, FL",75.2465797,70.66496977,95.51384028,76.07381483,93.44575247,34.05981546,25.7397391,87.27330576,87.97327394,88.19599109,86.09608654,11.07222399
12007,Bradford County,Florida,"Bradford County, FL",23.57620108,56.85650652,89.37321031,29.43048043,54.53388482,91.66401527,84.39389119,22.63760738,48.34552975,48.52052179,46.35698377,31.35539294
